Coral Springs city Florida,129485
Thousand Oaks city California,129339
Elizabeth city New Jersey,129007
Stamford city Connecticut,128874
Concord city California,128667
Surprise city Arizona,128422
Lafayette city Louisiana,127657
Topeka city Kansas,127265
Kent city Washington,126952
Simi Valley city California,126788
Santa Clara city California,126215
Murfreesboro city Tennessee,126118
Hartford city Connecticut,124006
Athens-Clarke County unified government (balance) Georgia,122604
Victorville city California,122225
Abilene city Texas,121721
Vallejo city California,121253
Berkeley city California,120972
Norman city Oklahoma,120284
Allentown city Pennsylvania,120207
Evansville city Indiana,119943
Columbia city Missouri,119108
Odessa city Texas,118968
Fargo city North Dakota,118523
Beaumont city Texas,118129
Independence city Missouri,117255
Ann Arbor city Michigan,117070
El Monte city California,116732
Springfield city Illinois,116565
Round Rock city Texas,115997
Wilmington city North Carolina,115933
Arvada city Colorado,115368
Provo city Utah,115264
Peoria city Illinois,115070
Lansing city Michigan,115056
Downey city California,114219
Carlsbad city California,113453
Costa Mesa city California,113204
Miami Gardens city Florida,113187
Westminster city Colorado,113130
Clearwater city Florida,113003
Fairfield city California,112970
Rochester city Minnesota,112225
Elgin city Illinois,112111
Temecula city California,112011
West Jordan city Utah,111946
Inglewood city California,111666
Richardson city Texas,110815
Lowell city Massachusetts,110699
Gresham city Oregon,110553
Antioch city California,110542
Cambridge city Massachusetts,110402
High Point city North Carolina,110268
Billings city Montana,110263
Manchester city New Hampshire,110229
Murrieta city California,109830
Centennial city Colorado,109741
Richmond city California,109708
San Buenaventura (Ventura) city California,109708
Pueblo city Colorado,109412
Pearland city Texas,108821
Waterbury city Connecticut,108802
West Covina city California,108484
North Charleston city South Carolina,108304
Everett city Washington,108010
College Station city Texas,107889
Palm Bay city Florida,107888
Pompano Beach city Florida,107762
Boulder city Colorado,107349
Norwalk city California,107140
West Palm Beach city Florida,106779
Broken Arrow city Oklahoma,106563
Daly City city California,106562
Sandy Springs city Georgia,105330
Burbank city California,105319
Green Bay city Wisconsin,105207
Santa Maria city California,105093
Wichita Falls city Texas,104710
Lakeland city Florida,104401
Clovis city California,104180
Lewisville city Texas,104039
Tyler city Texas,103700
El Cajon city California,103679
San Mateo city California,103536
Rialto city California,103132
Davenport city Iowa,102582
Hillsboro city Oregon,102347
Las Cruces city New Mexico,101643
South Bend city Indiana,101516
Vista city California,100890
Greeley city Colorado,100883
Davie town Florida,100882
San Angelo city Texas,100450
Jurupa Valley city California,100314
Renton city Washington,100242
Roanoke city Virginia,99897
Kenosha city Wisconsin,99858
Erie city Pennsylvania,99475
Albany city New York,98469
Compton city California,98462
Tuscaloosa city Alabama,98332
League City city Texas,98312
Flint city Michigan,98310
Allen city Texas,98143
Mission Viejo city California,97156
Vacaville city California,96803
Lawton city Oklahoma,96655
Beaverton city Oregon,96577
South Gate city California,96401
Portsmouth city Virginia,96201
Sparks city Nevada,96094
Brockton city Massachusetts,95314
Dearborn city Michigan,95171
Federal Way city Washington,95171
Lee's Summit city Missouri,95094
New Bedford city Massachusetts,94958
Spokane Valley city Washington,94919
Livonia city Michigan,94635
Roswell city Georgia,94501
Orem city Utah,94457
Rio Rancho city New Mexico,94171
Yuma city Arizona,94139
Lawrence city Kansas,93917
Yakima city Washington,93701
Quincy city Massachusetts,93618
Sandy city Utah,93613
Hesperia city California,93295
Carson city California,93281
Boca Raton city Florida,93235
Santa Monica city California,93220
San Marcos city California,92931
Sunrise city Florida,92700
Plantation city Florida,92560
Lynn city Massachusetts,92457
Miami Beach city Florida,92312
Westminster city California,92114
Longmont city Colorado,92088
Santa Barbara city California,91842
Redding city California,91582
Meridian city Idaho,90739
San Leandro city California,90712
Greenville city North Carolina,90597
Chico city California,90316
Edmond city Oklahoma,90092
Nampa city Idaho,89839
Newton city Massachusetts,88817
Fall River city Massachusetts,88777
Carmel city Indiana,88713
Fishers town Indiana,88658
Asheville city North Carolina,88512
Norwalk city Connecticut,88485
Waukegan city Illinois,88475
Deltona city Florida,88474
Hawthorne city California,88451
Fort Smith city Arkansas,88194
Suffolk city Virginia,88161
Sugar Land city Texas,88156
Livermore city California,88126
Nashua city New Hampshire,87970
Reading city Pennsylvania,87879
Concord city North Carolina,87696
Indio city California,87533
Whittier city California,87438
Kirkland city Washington,87281
Menifee city California,87174
Newport Beach city California,87127
Tracy city California,87075
Citrus Heights city California,87056
Bend city Oregon,87014
Bloomington city Minnesota,86435
Clifton city New Jersey,86334
Duluth city Minnesota,86110
Champaign city Illinois,86096
Chino city California,85595
Alhambra city California,85551
Ogden city Utah,85444
Redwood City city California,85288
Bellingham city Washington,85146
O'Fallon city Missouri,85040
Hoover city Alabama,84848
Danbury city Connecticut,84657
Edinburg city Texas,84497
Trenton city New Jersey,84225
Santa Fe city New Mexico,84099
Bloomington city Indiana,84067
Cicero town Illinois,83886
Hemet city California,83861
Johns Creek city Georgia,83335
Mission city Texas,83298
Troy city Michigan,83280
Buena Park city California,83270
Palm Coast city Florida,82893
Fayetteville city Arkansas,82830
Sioux City city Iowa,82821
Lake Forest city California,82492
Merced city California,82436
Longview city Texas,82287
Bryan city Texas,82118
Westland city Michigan,82000
Warwick city Rhode Island,81699
Lakewood city California,81611
Farmington Hills city Michigan,81330
Mount Pleasant town South Carolina,81317
Cranston city Rhode Island,81073
Largo city Florida,81000
Avondale city Arizona,80684
Tustin city California,80583
Mountain View city California,80435
Napa city California,80434
Somerville city Massachusetts,80318
Lawrence city Massachusetts,80231
St. George city Utah,80202
Melbourne city Florida,80127
Parma city Ohio,79937
New Rochelle city New York,79846
Lynchburg city Virginia,79812
Medford city Oregon,79805
Deerfield Beach city Florida,79768
Pleasanton city California,79510
Brooklyn Park city Minnesota,79149
Goodyear city Arizona,79003
